,Unnamed: 0,id,title,author,publish_date
58,72,https://www.goodreads.com/book/show/517693.Ubu_Roi,Ubu Roi,Alfred Jarry,1896.0
59,73,https://www.goodreads.com/book/show/42641.Resurrection,Resurrection,Leo Tolstoy,1899.0
60,75,https://www.goodreads.com/book/show/774846.The_Great_God_Pan,The Great God Pan,Arthur Machen,1890.0
61,76,https://www.goodreads.com/book/show/208977.Maggie,Maggie: A Girl of the Streets,Stephen Crane,1893.0
62,77,https://www.goodreads.com/book/show/174198.The_Country_of_the_Pointed_Firs_and_Other_Stories,The Country of the Pointed Firs and Other Stories,Sarah Orne Jewett,1910.0
63,78,https://www.goodreads.com/book/show/752936.A_Shropshire_Lad,A Shropshire Lad,A.E. Housman,1896.0
64,79,https://www.goodreads.com/book/show/47207.Raffles,Raffles: The Amateur Cracksman ,E.W. Hornung,1898.0
65,80,https://www.goodreads.com/book/show/80939.When_the_Sleeper_Wakes,When the Sleeper Wakes,H.G. Wells,1899.0
66,81,https://www.goodreads.com/book/show/128518.The_Second_Jungle_Book,The Second Jungle Book,Rudyard Kipling,1895.0
67,85,https://www.goodreads.com/book/show/65650079-the-blood-of-the-vampire,The Blood of the Vampire: An independent woman in Europe with White-Black mixed race heritage,Florence Marryat,1897.0
68,86,https://www.goodreads.com/book/show/189746.News_from_Nowhere,News from Nowhere,William Morris,1890.0
69,88,https://www.goodreads.com/book/show/662786.Seven_Little_Australians,Seven Little Australians ,Ethel Turner,1894.0
70,90,https://www.goodreads.com/book/show/788085.Trilby,Trilby,George du Maurier,1894.0
71,92,https://www.goodreads.com/book/show/83071.The_Songs_of_Bilitis,The Songs of Bilitis,Pierre Louÿs,1894.0
72,93,https://www.goodreads.com/book/show/754771.Story_of_a_Soul,Story of a Soul: The Autobiography of St. Thérèse of Lisieux,Thérèse de Lisieux,1898.0
73,94,https://www.goodreads.com/book/show/13614447-the-book-of-monelle,The Book of Monelle,Marcel Schwob,1894.0
74,95,https://www.goodreads.com/book/show/602398.Tha_s,Thaïs,Anatole France,1890.0
75,96,https://www.goodreads.com/book/show/28417.La_B_te_humaine,La Bête humaine,Émile Zola,1890.0
