,id,title,author
138,https://www.goodreads.com/book/show/226378.A_Hero_of_Our_Time,A Hero of Our Time,Mikhail Lermontov
139,https://www.goodreads.com/book/show/27822.Eugene_Onegin,Eugene Onegin,Alexander Pushkin
140,https://www.goodreads.com/book/show/254308.Oblomov,Oblomov,Ivan Goncharov
141,https://www.goodreads.com/book/show/45205.No_Name,No Name,Wilkie Collins
142,https://www.goodreads.com/book/show/87580.The_Private_Memoirs_and_Confessions_of_a_Justified_Sinner,The Private Memoirs and Confessions of a Justified Sinner,James Hogg
143,https://www.goodreads.com/book/show/54479.Around_the_World_in_Eighty_Days,Around the World in Eighty Days,Jules Verne
144,https://www.goodreads.com/book/show/49190.Uncle_Silas,Uncle Silas,J. Sheridan Le Fanu
145,https://www.goodreads.com/book/show/23814.King_Solomon_s_Mines,"King Solomon's Mines (Allan Quatermain, #1)",H. Rider Haggard
146,https://www.goodreads.com/book/show/682793.Pudd_nhead_Wilson,Pudd'nhead Wilson,Mark Twain
147,https://www.goodreads.com/book/show/444381.The_Princess_and_the_Goblin,"The Princess and the Goblin  (Princess Irene and Curdie, #1)",George MacDonald
148,https://www.goodreads.com/book/show/3008.A_Little_Princess,A Little Princess,Frances Hodgson Burnett
149,https://www.goodreads.com/book/show/25932.Lost_Illusions,Lost Illusions,Honoré de Balzac
150,https://www.goodreads.com/book/show/83346.Through_the_Looking_Glass_and_What_Alice_Found_There,"Through the Looking-Glass and What Alice Found There (Alice's Adventures in Wonderland, #2)",Lewis Carroll
151,https://www.goodreads.com/book/show/655.The_Death_of_Ivan_Ilych_and_Other_Stories,The Death of Ivan Ilych and Other Stories,Leo Tolstoy
152,https://www.goodreads.com/book/show/899492.The_Tell_Tale_Heart,The Tell-Tale Heart,Edgar Allan Poe
153,https://www.goodreads.com/book/show/526187.The_Prime_Minister,The Prime Minister (Palliser #5),Anthony Trollope
154,https://www.goodreads.com/book/show/77270.The_Jungle_Book,The Jungle Book,Rudyard Kipling
155,https://www.goodreads.com/book/show/174948.Phantastes,Phantastes,George MacDonald
156,https://www.goodreads.com/book/show/472968.The_Vampyre_and_Other_Tales_of_the_Macabre,The Vampyre and Other Tales of the Macabre,Robert  Morrison
157,https://www.goodreads.com/book/show/268187.Lilith,Lilith,George MacDonald
158,https://www.goodreads.com/book/show/971088.The_Egoist,The Egoist,George Woodcock
159,https://www.goodreads.com/book/show/22917.The_Complete_Grimm_s_Fairy_Tales,The Complete Grimm's Fairy Tales,Jacob Grimm
160,https://www.goodreads.com/book/show/3597.The_Complete_Adventures_and_Memoirs_of_Sherlock_Holmes,The Complete Adventures and Memoirs of Sherlock Holmes,Arthur Conan Doyle
161,https://www.goodreads.com/book/show/144463.The_Small_House_at_Allington,"The Small House at Allington (Chronicles of Barsetshire, #5)",Anthony Trollope
162,https://www.goodreads.com/book/show/194546.The_Bostonians,The Bostonians,Henry James
163,https://www.goodreads.com/book/show/830205.Sylvia_s_Lovers,Sylvia's Lovers,Elizabeth Gaskell
164,https://www.goodreads.com/book/show/699468.The_Well_Beloved,The Well-Beloved,Thomas Hardy
165,https://www.goodreads.com/book/show/267102.Framley_Parsonage,Framley Parsonage (Chronicles of Barsetshire #4),Anthony Trollope
166,https://www.goodreads.com/book/show/414295.Dr_Thorne,Dr. Thorne (Chronicles of Barsetshire #3),Anthony Trollope
167,https://www.goodreads.com/book/show/37793.A_Doll_s_House,A Doll's House,Henrik Ibsen
168,https://www.goodreads.com/book/show/194373.The_Memoirs_of_Sherlock_Holmes,"The Memoirs of Sherlock Holmes (Sherlock Holmes, #4)",Arthur Conan Doyle
169,https://www.goodreads.com/book/show/341281.The_Woodlanders,The Woodlanders,Thomas Hardy
170,https://www.goodreads.com/book/show/13023.Alice_in_Wonderland,Alice in Wonderland,Jane Carruth
171,https://www.goodreads.com/book/show/175516.The_Fall_of_the_House_of_Usher,The Fall of the House of Usher: An Edgar Allan Poe Short Story,Edgar Allan Poe
